new_la_code,la_name,region_name,fairness_combined,Local authority,positive_proportion,inspection_norm,gender_equity_index_refined,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
E06000001,Hartlepool,North East,0.4166055988149045,Hartlepool,0.782608695652174,0.4279176201372999,0.4205648062777428,0.4166055988149045,0.4279176201372999,3,42.41469463631681
E06000002,Middlesbrough,North East,0.4355393540142732,Middlesbrough,0.7317073170731707,0.293966623876765,0.3859888984661453,0.4355393540142732,0.293966623876765,3,34.1157533922601
E06000003,Redcar and Cleveland,North East,0.5916399427136707,Redcar and Cleveland,0.7619047619047619,0.3734335839598997,0.5152677171498509,0.5916399427136707,0.3734335839598997,3,44.61690368778233
E06000004,Stockton-on-Tees,North East,0.6715566752144129,Stockton-on-Tees,0.7692307692307693,0.3927125506072875,0.573961231601919,0.6715566752144129,0.3927125506072875,3,48.56605921429959
E06000005,Darlington,North East,0.5100849937859182,Darlington,0.825,0.5394736842105262,0.520371035434531,0.5100849937859182,0.5394736842105262,3,52.96774540689903
E06000006,Halton,North West,0.2971646288837746,Halton,0.7833333333333333,0.4298245614035088,0.3435956052656815,0.2971646288837746,0.4298245614035088,3,38.56045838969307
E06000007,Warrington,North West,0.4885326698255878,Warrington,0.8405797101449275,0.5804729214340197,0.520711757888539,0.4885326698255878,0.5804729214340197,3,54.98261708978758
E06000008,Blackburn with Darwen,North West,0.4831505260490006,Blackburn with Darwen,0.7945205479452054,0.4592645998558037,0.4747904518813817,0.4831505260490006,0.4592645998558037,3,46.722657525353604
E06000009,Blackpool,North West,0.6071958965553723,Blackpool,0.7037037037037037,0.2202729044834308,0.4717728493301928,0.6071958965553723,0.2202729044834308,3,34.9247235174078
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,0.8093471921938511,,,,,0.8093471921938511,,1,80.93471921938512
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,0.7001164524546588,East Riding of Yorkshire,0.84375,0.5888157894736842,0.6611612204113176,0.7001164524546588,0.5888157894736842,3,62.59160104673423
E06000012,North East Lincolnshire,Yorkshire and The Humber,0.610611076918936,North East Lincolnshire,0.8490566037735849,0.6027805362462761,0.6078703876835051,0.610611076918936,0.6027805362462761,3,60.5390716470496
E06000013,North Lincolnshire,Yorkshire and The Humber,0.534956047505321,North Lincolnshire,0.8,0.4736842105263159,0.5135109045626692,0.534956047505321,0.4736842105263159,3,49.41081561859843
E06000014,York,Yorkshire and The Humber,0.4401133541570947,York,0.9183673469387756,0.7851772287862514,0.5608857102772995,0.4401133541570947,0.7851772287862514,3,67.01559372431993
E06000015,Derby,East Midlands,0.5498383950703992,Derby,0.8111111111111111,0.5029239766081871,0.533418348608625,0.5498383950703992,0.5029239766081871,3,51.85621160955911
E06000016,Leicester,East Midlands,0.2773447724352728,Leicester,0.8172043010752689,0.5189586870401812,0.3619096425469907,0.2773447724352728,0.5189586870401812,3,43.842071550521176
