la_name,fairness_combined,inspection_norm,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
Hartlepool,0.4166055988149045,0.4279176201372999,0.4166055988149045,0.4279176201372999,3,42.41469463631681
Middlesbrough,0.4355393540142732,0.293966623876765,0.4355393540142732,0.293966623876765,3,34.1157533922601
Redcar and Cleveland,0.5916399427136707,0.3734335839598997,0.5916399427136707,0.3734335839598997,3,44.61690368778233
Stockton-on-Tees,0.6715566752144129,0.3927125506072875,0.6715566752144129,0.3927125506072875,3,48.56605921429959
Darlington,0.5100849937859182,0.5394736842105262,0.5100849937859182,0.5394736842105262,3,52.96774540689903
Halton,0.2971646288837746,0.4298245614035088,0.2971646288837746,0.4298245614035088,3,38.56045838969307
Warrington,0.4885326698255878,0.5804729214340197,0.4885326698255878,0.5804729214340197,3,54.98261708978758
Blackburn with Darwen,0.4831505260490006,0.4592645998558037,0.4831505260490006,0.4592645998558037,3,46.722657525353604
Blackpool,0.6071958965553723,0.2202729044834308,0.6071958965553723,0.2202729044834308,3,34.9247235174078
"Kingston upon Hull, City of",0.8093471921938511,,0.8093471921938511,,1,80.93471921938512
East Riding of Yorkshire,0.7001164524546588,0.5888157894736842,0.7001164524546588,0.5888157894736842,3,62.59160104673423
North East Lincolnshire,0.610611076918936,0.6027805362462761,0.610611076918936,0.6027805362462761,3,60.5390716470496
North Lincolnshire,0.534956047505321,0.4736842105263159,0.534956047505321,0.4736842105263159,3,49.41081561859843
York,0.4401133541570947,0.7851772287862514,0.4401133541570947,0.7851772287862514,3,67.01559372431993
Derby,0.5498383950703992,0.5029239766081871,0.5498383950703992,0.5029239766081871,3,51.85621160955911
Leicester,0.2773447724352728,0.5189586870401812,0.2773447724352728,0.5189586870401812,3,43.842071550521176
Rutland,0.9094758065146042,0.649122807017544,0.9094758065146042,0.649122807017544,3,73.59071401832308
Nottingham,0.6099105306639451,0.5746943115364167,0.6099105306639451,0.5746943115364167,3,58.64330512455928
"Herefordshire, County of",0.4417901961275042,,0.4417901961275042,,1,44.17901961275042
Telford and Wrekin,0.4568592076046612,0.3208828522920204,0.4568592076046612,0.3208828522920204,3,36.62083040629007
Stoke-on-Trent,0.5306479189953648,0.458204334365325,0.5306479189953648,0.458204334365325,3,48.23521959086716
Bath and North East Somerset,0.270239754819801,0.4298245614035088,0.270239754819801,0.4298245614035088,3,37.662962587560614
"Bristol, City of",0.488043617270506,,0.488043617270506,,1,48.8043617270506
North Somerset,0.5841115355197585,0.0,0.5841115355197585,0.0,3,19.470384517325282
South Gloucestershire,0.5291830290725145,0.485783424077435,0.5291830290725145,0.485783424077435,3,50.02499590757948
Plymouth,0.4935926669587968,0.4047619047619048,0.4935926669587968,0.4047619047619048,3,43.43721588275355
Torbay,0.4435869248442404,0.5021337126600286,0.4435869248442404,0.5021337126600286,3,48.26181167214325
Swindon,0.4410250923315225,0.548872180451128,0.4410250923315225,0.548872180451128,3,51.29231510779261
Peterborough,0.4347607043218241,0.1845811712379539,0.4347607043218241,0.1845811712379539,3,26.797434893257734
Luton,0.4173510698830497,0.7028862478777589,0.4173510698830497,0.7028862478777589,3,60.77078552128559
Southend-on-Sea,0.6297669396368475,,0.6297669396368475,,1,62.97669396368475
Thurrock,0.4754180559806303,0.401913875598086,0.4754180559806303,0.401913875598086,3,42.64152690589341
Medway,0.6418122569927924,0.5336442371752167,0.6418122569927924,0.5336442371752167,3,56.97002437810753
Bracknell Forest,0.6409711161821329,0.6842105263157895,0.6409711161821329,0.6842105263157895,3,66.97973896045707
West Berkshire,0.6714162032686383,0.3581514762516046,0.6714162032686383,0.3581514762516046,3,46.257305192394924
Reading,0.4617687689844817,0.5009074410163338,0.4617687689844817,0.5009074410163338,3,48.78612170057164
Slough,0.3448477198106958,0.5906432748538012,0.3448477198106958,0.5906432748538012,3,50.87114231727661
Windsor and Maidenhead,0.4101687114652,0.5614035087719299,0.4101687114652,0.5614035087719299,3,51.099190966968656
Wokingham,0.3356413797773587,0.4629430719656283,0.3356413797773587,0.4629430719656283,3,42.05091745695384
Milton Keynes,0.6454014659577484,0.5614035087719299,0.6454014659577484,0.5614035087719299,3,58.940282783386934
Brighton and Hove,0.6507645563123194,0.3208828522920204,0.6507645563123194,0.3208828522920204,3,43.08434202987868
Portsmouth,0.5815028994956797,0.328107502799552,0.5815028994956797,0.328107502799552,3,41.25726350315945
Southampton,0.4783080611427672,0.1959064327485379,0.4783080611427672,0.1959064327485379,3,29.004030887994762
Isle of Wight,0.5581103254635291,0.2562929061784896,0.5581103254635291,0.2562929061784896,3,35.68987126068361
County Durham,0.5860741146464121,,0.5860741146464121,,1,58.60741146464121
Cheshire East,0.5659099132643488,0.3581514762516046,0.5659099132643488,0.3581514762516046,3,42.7404288589186
Cheshire West and Chester,0.5099819998270247,0.5321637426900584,0.5099819998270247,0.5321637426900584,3,52.47698284023805
Shropshire,0.3448173890530381,0.1959064327485379,0.3448173890530381,0.1959064327485379,3,24.55434181833713
Cornwall,0.5667098345956282,0.2274263640753259,0.5667098345956282,0.2274263640753259,3,34.052085424876005
Isles of Scilly,0.1777054429423187,1.0,0.1777054429423187,1.0,3,72.59018143141063
Wiltshire,0.6208475803730127,0.395810955961332,0.6208475803730127,0.395810955961332,3,47.08231640985588
Bedford,0.4421029899967212,0.401913875598086,0.4421029899967212,0.401913875598086,3,41.531024706429776
Central Bedfordshire,0.6879685675089704,0.3581514762516046,0.6879685675089704,0.3581514762516046,3,46.809050667072654
Northumberland,0.5424049895378606,0.5582020745293891,0.5424049895378606,0.5582020745293891,3,55.2936379532213
"Bournemouth, Christchurch and Poole",0.6682668659018454,,0.6682668659018454,,1,66.82668659018454
Dorset,0.5844229450035531,0.3097497842968077,0.5844229450035531,0.3097497842968077,3,40.13075045323895
Buckinghamshire,0.6563265109122072,0.338927027714213,0.6563265109122072,0.338927027714213,3,44.47268554468777
North Northamptonshire,0.5984942817240088,0.557717823971694,0.5984942817240088,0.557717823971694,3,57.1309976555799
West Northamptonshire,0.5963060489920852,0.4510816919599612,0.5963060489920852,0.4510816919599612,3,49.94898109706692
Cumberland,0.4397579042395869,0.4133422728796515,0.4397579042395869,0.4133422728796515,3,42.21474833329633
